dataset,role,provider_or_project,access_url
Overture Maps Buildings,tested open/conflated building layer,Overture Maps Foundation,https://docs.overturemaps.org/guides/buildings/
GHS-UCDB R2024A,standardised urban-centre frame and population,European Commission Joint Research Centre,https://ghsl.jrc.ec.europa.eu/ghs_stat_ucdb2024mt_r2024a.php
NASA POWER,global point heat-exposure context,NASA,https://power.larc.nasa.gov/
Local Climate Zone global map,urban-form context,Demuzere et al. / global LCZ,https://lcz-generator.rub.de/
3DBAG,official Netherlands height truth windows,3DBAG / TU Delft,https://3dbag.nl/
GHS-OBAT,official modelled building-attribute comparator,European Commission Joint Research Centre,https://ghsl.jrc.ec.europa.eu/
GlobalBuildingAtlas,global 3D building product comparator,GlobalBuildingAtlas,https://globalbuildingatlas.org/
GHS-BUILT-H,Earth-observation height substitute,European Commission Joint Research Centre,https://ghsl.jrc.ec.europa.eu/
NYC Hyperlocal Temperature Monitoring,measured intra-urban heat stress test,NYC Open Data,https://data.cityofnewyork.us/
NYC municipal programme inventories,programme-inventory evidence-readiness matches,NYC Open Data,https://data.cityofnewyork.us/
